Jurisdiction,EffectivenessScore,CountryEffectivenessRating,TechnicalComplianceScore,TechnicalComplianceTcRating,Comments
Albania,2,Moderate Effective,2.88,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is moderately effective because the immediate outcome is achieved to some extent. Significant improvements are needed to fix the deficiencies in the country's AML/CFT program, which prevents it from achieving the objective of the FATF standards and identifying any systemic weaknesses.  "
Andorra,2.36,Moderate Effective,3.18,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is moderately effective because the immediate outcome is achieved to some extent. Significant improvements are needed to fix the deficiencies in the country's AML/CFT program, which prevents it from achieving the objective of the FATF standards and identifying any systemic weaknesses.  "
Antigua & Barbuda,1.64,Low Effective,2.98,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is low effective because the immediate outcome is not achieved or achieved to a negligible extent. Fundamental improvements are needed as the country's legal and institutional framework fails to implement a robust AML/CFT program and achieve FATF standards' objective to produce the expected results."
Armenia,2.36,Moderate Effective,3.4,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is moderately effective because the immediate outcome is achieved to some extent. Significant improvements are needed to fix the deficiencies in the country's AML/CFT program, which prevents it from achieving the objective of the FATF standards and identifying any systemic weaknesses.  "
Australia,2.55,Moderate Effective,2.95,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is moderately effective because the immediate outcome is achieved to some extent. Significant improvements are needed to fix the deficiencies in the country's AML/CFT program, which prevents it from achieving the objective of the FATF standards and identifying any systemic weaknesses.  "
Austria,2.09,Moderate Effective,3.35,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is moderately effective because the immediate outcome is achieved to some extent. Significant improvements are needed to fix the deficiencies in the country's AML/CFT program, which prevents it from achieving the objective of the FATF standards and identifying any systemic weaknesses.  "
Bahamas,1.45,Low Effective,3.08,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is low effective because the immediate outcome is not achieved or achieved to a negligible extent. Fundamental improvements are needed as the country's legal and institutional framework fails to implement a robust AML/CFT program and achieve FATF standards' objective to produce the expected results."
Bahrain,2.27,Moderate Effective,3.05,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is moderately effective because the immediate outcome is achieved to some extent. Significant improvements are needed to fix the deficiencies in the country's AML/CFT program, which prevents it from achieving the objective of the FATF standards and identifying any systemic weaknesses.  "
Bangladesh,1.91,Low Effective,3.13,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is low effective because the immediate outcome is not achieved or achieved to a negligible extent. Fundamental improvements are needed as the country's legal and institutional framework fails to implement a robust AML/CFT program and achieve FATF standards' objective to produce the expected results."
Barbados,1.36,Low Effective,2.98,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is low effective because the immediate outcome is not achieved or achieved to a negligible extent. Fundamental improvements are needed as the country's legal and institutional framework fails to implement a robust AML/CFT program and achieve FATF standards' objective to produce the expected results."
